,Cena,Približno,Neto cena,DDV,Bivalna površina,Vrsta stanovanja,Leto izgradnje,Vrsta ponudbe,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Leto zadnje prenove,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Opremljenost in stanje,Število parkirnih mest,Možnost menjave,Neto površina,Energetski razred,Interna številka oglasa,type,Število sob,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Površina parcele
0,169.900 €,,,,"66,70 m²",2-sobno,1961.0,Prodam,"Gorenjska, Jesenice, Slovenski Javornik",V večstanovanjski stavbi,2.,2.0,2020.0,Balkon,Vrt/dvorišče,Skupna cena,14.09.2022. ob 16:17,Št. dni: 29 in 19 h,378 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-slovenski-javornik-66.70-m2-oglas-9702142,9702142,,,,,,,flat,,,,,
1,147.000 €,,,,"72,00 m²",3-sobno,1890.0,Prodam,"Gorenjska, Tržič, Slap",V večstanovanjski stavbi,Mansarda,2.0,2022.0,,"Vrt/dvorišče, Lopa za shranjevanje, Žar",Skupna cena,14.09.2022. ob 15:45,Št. dni: 29 in 18 h,21 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-slap-72.00-m2-oglas-9959369,9959369,Popolnoma opremljeno,2,Menjava za drugo nepremičnino ni možna,,,,flat,,,,,
2,112.500 €,,,,,2-sobno,1963.0,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,5.,5.0,,,,Skupna cena,14.09.2022. ob 15:24,do prodaje,67 -krat,https://www.bolha.com/nepremicnine/2-sobno-maribor-center-oglas-9959303,9959303,,,,"46,90 m²",F (150 - 210 kWh/m2a),PE9616,flat,,,,,
3,148.000 €,,,,"109,00 m²",2-sobno,1978.0,Prodam,"Podravska, Maribor, Radvanje",V večstanovanjski stavbi,,,,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,38 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvosobno-podravska-maribor-spodnje-radvanje-oglas-9959268,9959268,,,,"109,00 m²",,PH4647394AB-1,flat,,,,,
4,178.000 €,,,,"85,00 m²",,1988.0,Prodam,"Savinjska, Celje, Celje",V večstanovanjski stavbi,3.,3.0,2012.0,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,26 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-trisobno-savinjska-celje-celje-oglas-9959267,9959267,,,,"85,00 m²",,PS01691AP,flat,,,,,
5,137.000 €,,,,"60,00 m²",,1949.0,Prodam,"Savinjska, Celje, Celje",V večstanovanjski stavbi,,,,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,27 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvoinpolsobno-savinjska-celje-celje-oglas-9959266,9959266,,,,"60,00 m²",,PS01644AP,flat,,,,,
6,125.000 €,,,,"59,00 m²",,1986.0,Prodam,"Savinjska, Celje, Celje",V večstanovanjski stavbi,4.,4.0,,,,Skupna cena,14.09.2022. ob 15:14,do prodaje,24 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvoinpolsobno-savinjska-celje-celje-oglas-9959265,9959265,,,,"59,00 m²",,PS01643AP,flat,,,,,
7,295.000 €,,,,"74,60 m²",3-sobno,1977.0,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",V večstanovanjski stavbi,,4.0,2015.0,Balkon,,Skupna cena,14.09.2022. ob 15:11,do prodaje,23 -krat,https://www.bolha.com/nepremicnine/ljubljana-bezigrad-stanovanje-3-sobno-prodaja-oglas-9959251,9959251,Popolnoma opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"76,70 m²",E (105 - 150 kWh/m2a),101240-16,flat,,,,,
8,115.000 €,,,,"52,20 m²",2-sobno,1980.0,Prodam,"Podravska, Maribor, Radvanje",,,8.0,2012.0,Balkon,,Skupna cena,14.09.2022. ob 15:11,do prodaje,40 -krat,https://www.bolha.com/nepremicnine/maribor-sp-radvanje-stanovanje-2-sobno-prodaja-oglas-9959250,9959250,Popolnoma opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"58,60 m²",,100155-301,flat,,,,,
9,175.000 €,,,,"37,70 m²","1,5-sobno",1960.0,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Polje",V večstanovanjski stavbi,,,2010.0,Balkon,,Skupna cena,14.09.2022. ob 15:11,do prodaje,21 -krat,https://www.bolha.com/nepremicnine/ljubljana-polje-stanovanje-1.5-sobno-prodaja-oglas-9959248,9959248,,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"46,60 m²",B2 (25 - 35 kWh/m2a),101240-17,flat,,,,,
10,157.000 €,,,,"58,00 m²",2-sobno,1973.0,Prodam,"Goriška, Nova Gorica, Nova Gorica",V večstanovanjski stavbi,4.,4.0,2018.0,,,Skupna cena,14.09.2022. ob 15:10,do prodaje,11 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvosobno-severna-primorska-gorica-goric-oglas-9959238,9959238,Popolnoma opremljeno,,,"58,00 m²",,KODA: P7142GO,flat,,,,,
11,89.000 €,,,,"43,00 m²",,1978.0,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,3.,4.0,,,,Skupna cena,14.09.2022. ob 15:10,do prodaje,32 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-enosobno-podravska-maribor-pobrezje-oglas-9959236,9959236,,,,"43,00 m²",,PS00339DR,flat,,,,,
12,149.417 €,,,,"52,80 m²",2-sobno,2024.0,Prodam,"Podravska, Maribor, Studenci",,1.,5.0,,Loža,,Skupna cena,14.09.2022. ob 15:07,do prodaje,191 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-studenci-52.00-m2-oglas-9950534,9950534,,,,,B (26 do 50 kWh/m2a) - HR,C.1N8,flat,,,,,
13,212.125 €,,,,"135,00 m²",4-sobno,2024.0,Prodam,"Podravska, Maribor, Studenci",,Pritličje,5.0,,Atrij,,Skupna cena,14.09.2022. ob 15:07,do prodaje,256 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-studenci-135.00-m2-oglas-9902264,9902264,,,,,B2 (25 - 35 kWh/m2a),D.P4,flat,,,,,
14,255.985 €,,,,"196,50 m²",4-sobno,2024.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,2.,5.0,,Terasa,,Skupna cena,14.09.2022. ob 15:07,do prodaje,329 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-studenci-196.00-m2-oglas-9894047,9894047,,,,,B2 (25 - 35 kWh/m2a),C.2N5,flat,,,,,
15,217.360 €,,,,"87,60 m²",4-sobno,2024.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,3.,5.0,,Loža,,Skupna cena,14.09.2022. ob 15:07,do prodaje,295 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-studenci-74.00-m2-oglas-9893886,9893886,,,,,B2 (25 - 35 kWh/m2a),C.3N4,flat,,,,,
16,169.944 €,,,,"60,40 m²","2,5-sobno",2024.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,1.,5.0,,Loža,,Skupna cena,14.09.2022. ob 15:07,do prodaje,233 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-studenci-60.00-m2-oglas-9893021,9893021,,,,,B2 (25 - 35 kWh/m2a),C.1N.9,flat,,,,,
17,143.787 €,,,,"52,00 m²",3-sobno,2024.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,1.,5.0,,Loža,,Skupna cena,14.09.2022. ob 15:07,do prodaje,279 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-studenci-52.00-m2-oglas-9892989,9892989,,,,,B2 (25 - 35 kWh/m2a),C.1N.7,flat,,,,,
18,229.478 €,,,,"161,30 m²",4-sobno,2024.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,Pritličje,5.0,,Atrij,,Skupna cena,14.09.2022. ob 15:07,do prodaje,246 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-studenci-161.00-m2-oglas-9892585,9892585,,,,,B2 (25 - 35 kWh/m2a),C.P.2,flat,,,,,
19,148.992 €,,,,"53,40 m²",2-sobno,2024.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,1.,5.0,,Atrij,,Skupna cena,14.09.2022. ob 15:07,do prodaje,692 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-studenci-51.00-m2-oglas-9892410,9892410,,,,,B2 (25 - 35 kWh/m2a),C.1N10,flat,,,,,
20,208.126 €,,,,"80,00 m²",3-sobno,2024.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,4.,5.0,,Loža,,Skupna cena,14.09.2022. ob 15:07,do prodaje,196 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-studenci-80.00-m2-oglas-9892372,9892372,,,,,B2 (25 - 35 kWh/m2a),D.4N.5,flat,,,,,
21,189.000 €,,,,"87,00 m²",2-sobno,1959.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,1.,2.0,2017.0,Balkon,,Skupna cena,14.09.2022. ob 14:53,Št. dni: 29 in 17 h,7088 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-studenci-107.00-m2-oglas-3802132,3802132,Popolnoma opremljeno,1,Možna menjava za drugo nepremičnino,"107,00 m²",,,flat,,,,,
22,101.000 €,,,,,"2,5-sobno",1962.0,Prodam,"Savinjska, Celje, Dečkovo polje",V večstanovanjski stavbi,4.,,,Balkon,,Skupna cena,14.09.2022. ob 14:45,do prodaje,53 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-deckovo-polje-oglas-9959145,9959145,,,Menjava za drugo nepremičnino ni možna,"62,10 m²",D (60 - 105 kWh/m2a),,flat,,,,,
23,230.000 €,,,,"137,00 m²",6 in večsobno,1999.0,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,,3.0,,Balkon,,Skupna cena,14.09.2022. ob 14:28,do prodaje,166 -krat,https://www.bolha.com/nepremicnine/maribor-pobrezje-stanovanje-5-in-vecsobno-prodaja-oglas-9851348,9851348,Delno opremljeno,brez pripadajočega parkirišča,Menjava za drugo nepremičnino ni možna,"152,70 m²",C (35 - 60 kWh/m2a),100104-571,flat,,,,,
24,139.000 €,,,,"46,60 m²",2-sobno,1955.0,Prodam,"Podravska, Maribor, Tabor",V večstanovanjski stavbi,,,2018.0,,,Skupna cena,14.09.2022. ob 14:26,do prodaje,230 -krat,https://www.bolha.com/nepremicnine/maribor-tabor-stanovanje-2-sobno-prodaja-oglas-9936736,9936736,Delno opremljeno,1,Menjava za drugo nepremičnino ni možna,"58,30 m²",EI v izdelavi,100108-581,flat,,,,,
25,166.500 €,,,,"62,00 m²",3-sobno,1968.0,Prodam,"Podravska, Maribor, Magdalena",V večstanovanjski stavbi,7.,9.0,2021.0,Balkon,,Skupna cena,14.09.2022. ob 14:00,Št. dni: 27 in 17 h,618 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-magdalena-62.00-m2-oglas-9950080,9950080,Popolnoma opremljeno,2,Menjava za drugo nepremičnino ni možna,"66,70 m²",D (60 - 105 kWh/m2a),,flat,,,,,
26,80.800 €,,,,"30,40 m²",1-sobno,1974.0,Prodam,"Obalno-kraška, Sežana, Sežana",V večstanovanjski stavbi,4.,,2012.0,Balkon,,Skupna cena,14.09.2022. ob 13:48,Št. dni: 29 in 16 h,27 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-sezana-37.50-m2-oglas-9958921,9958921,,,,"37,50 m²",,,flat,,,,,
27,198.000 €,,,,"60,00 m²",3-sobno,1999.0,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,Pritličje,2.0,2020.0,"Terasa, Atrij","Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,14.09.2022. ob 11:05,Št. dni: 29 in 14 h,40 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-pobrezje-3-sobno-60m2-atrij-oglas-9958298,9958298,Popolnoma opremljeno,,,"126,00 m²",D (60 - 105 kWh/m2a),,flat,,,,,
28,250.000 €,,,,"80,60 m²",4-sobno,1962.0,Prodam,"Osrednjeslovenska, Ljubljana Vič Rudnik, Kolezija",,1.,4.0,,,,Skupna cena,14.09.2022. ob 10:53,do prodaje,33 -krat,https://www.bolha.com/nepremicnine/vic-kolezija-80.00-m2-oglas-9958251,9958251,,,,,,G227,flat,,,,,
29,580.000 €,,,,"146,60 m²",,2009.0,Prodam,"Obalno-kraška, Koper, Ankaran",,,,,,,Skupna cena,14.09.2022. ob 09:10,do prodaje,920 -krat,https://www.bolha.com/nepremicnine/trosobno-stanovanje-ankaran-146.6-m2-prodaja-oglas-9957808,9957808,,,,,,,flat,,,,,
30,169.000 €,,,,"66,00 m²",3-sobno,1967.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,4.,4.0,2014.0,,,Skupna cena,14.09.2022. ob 05:18,Št. dni: 7 in 13 h,2213 -krat,https://www.bolha.com/nepremicnine/stanovanje-studencih-z-lepim-razgledom-oglas-9698073,9698073,,1,,"67,50 m²",C (35 - 60 kWh/m2a),,flat,,,,,
31,395.000 €,,,,,2-sobno,1989.0,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Zupančičeva jama",,,,,,,Skupna cena,14.09.2022. ob 00:19,do prodaje,16 -krat,https://www.bolha.com/nepremicnine/92.7m2-zupanciceva-jama-odlicna-lokacija-oglas-9956652,9956652,,1,,,C (35 - 60 kWh/m2a),490391001-58,flat,,,,,
32,133.000 €,,,,"84,17 m²","3,5-sobno",1989.0,Prodam,"Podravska, Ptuj, Ptuj",,4.,4.0,,,,Skupna cena,14.09.2022. ob 00:14,Št. dni: 29 in 3 h,1202 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-ptuj-84.00-m2-oglas-9817405,9817405,,,,"92,98 m²",,,flat,,,,,
33,165.300 €,,,,"66,00 m²",2-sobno,2010.0,Prodam,"Savinjska, Vojnik, Vojnik",V večstanovanjski stavbi,3.,3.0,,Balkon,,Skupna cena,13.09.2022. ob 21:00,do prodaje,55 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-vojnik-66.00-m2-oglas-9956291,9956291,,2,,"66,00 m²",,,flat,,,,,
34,149.000 €,,,,"88,00 m²",3-sobno,2007.0,Prodam,"Podravska, Duplek, Spodnji Duplek",V večstanovanjski stavbi,3.,3.0,,,,Skupna cena,13.09.2022. ob 20:37,Št. dni: 6 in 16 h,1279 -krat,https://www.bolha.com/nepremicnine/popolnoma-opremljeno-3-sobno-duplex-stanovanje-92-m2-oglas-9707741,9707741,Popolnoma opremljeno,,,"92,00 m²",,,flat,,,,,
35,87.000 €,,,,"35,00 m²",1-sobno,,Prodam,"Podravska, Maribor, Tezno",,4.,,,,,Skupna cena,13.09.2022. ob 19:15,Št. dni: 28 in 22 h,107 -krat,https://www.bolha.com/nepremicnine/stanovanje-enosobno-oglas-9955890,9955890,,,Možna menjava za drugo nepremičnino,"37,00 m²",,,flat,,,,,
36,132.000 €,,,,"56,00 m²",2-sobno,1968.0,Prodam,"Podravska, Maribor, Tezno",V večstanovanjski stavbi,3.,4.0,2022.0,,,Skupna cena,13.09.2022. ob 18:44,Št. dni: 28 in 21 h,452 -krat,https://www.bolha.com/nepremicnine/prodam-2-sobno-popolnoma-obnovljeno-se-ne-vseljeno-stanovanje-oglas-9955790,9955790,Delno opremljeno,,Možna menjava za drugo nepremičnino,"56,00 m²",EI v izdelavi,,flat,,,,,
37,210.000 €,,,,,3-sobno,1964.0,Prodam,"Savinjska, Celje, Center",V večstanovanjski stavbi,2.,4.0,2014.0,"Balkon, Zaprt balkon",Vrt/dvorišče,Skupna cena,13.09.2022. ob 16:12,Št. dni: 28 in 19 h,84 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-center-oglas-9955214,9955214,Popolnoma opremljeno,1,Menjava za drugo nepremičnino ni možna,"76,20 m²",EI v izdelavi,,flat,,,,,
38,"235.819,20 €",,,,"66,51 m²",3-sobno,2021.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,Pritličje,3.0,,"Terasa, Loža, Atrij",,Skupna cena,13.09.2022. ob 15:13,do prodaje,135 -krat,https://www.bolha.com/nepremicnine/premium-pametno-stanovanje-rezidenca-sunset-elite-mb-oglas-9950509,9950509,,,,"107,21 m²",B1 (15 - 25 kWh/m2a),,flat,,,,,
39,"229.320,38 €",,,,"71,20 m²",2-sobno,2022.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,Pritličje,3.0,,"Terasa, Atrij",,Skupna cena,13.09.2022. ob 15:13,do prodaje,13259 -krat,https://www.bolha.com/nepremicnine/nadstandardno-pametno-stanovanje-oglas-4359089,4359089,Neopremljeno,,,"69,50 m²",B1 (15 - 25 kWh/m2a),,flat,,,,,
40,"259.790,94 €",,,,"59,34 m²","2,5-sobno",2022.0,Prodam,"Podravska, Maribor, Radvanje",V večstanovanjski stavbi,1.,3.0,,"Balkon, Terasa, Atrij",Vrt/dvorišče,Skupna cena,13.09.2022. ob 15:13,do prodaje,11331 -krat,https://www.bolha.com/nepremicnine/ekskluzivna-varcna-stanovanja-seniorje-maribor-oglas-2220733,2220733,Delno opremljeno,,,"73,49 m²",B1 (15 - 25 kWh/m2a),,flat,,,,,
41,"199.206,51 €",,,,"57,00 m²",2-sobno,2022.0,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,1.,4.0,,"Terasa, Loža, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar, Bazen",Skupna cena,13.09.2022. ob 15:13,do prodaje,14682 -krat,https://www.bolha.com/nepremicnine/premium-pametna-stanovanja-rezidenca-sunset-elite-maribor-oglas-2218823,2218823,Delno opremljeno,,,"65,00 m²",B1 (15 - 25 kWh/m2a),,flat,,,,,
42,109.900 €,,,,"61,00 m²",2-sobno,1977.0,Prodam,"Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah",V večstanovanjski stavbi,4.,5.0,2019.0,,,Skupna cena,13.09.2022. ob 15:12,do prodaje,78 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-dvosobno-podravska-lenart-lenart-v-slov-goricah-oglas-9954976,9954976,,2,,"61,00 m²",,PS4647796MR,flat,,,,,
43,159.000 €,,,,"83,00 m²",,2012.0,Prodam,"Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah",V večstanovanjski stavbi,2.,7.0,,,,Skupna cena,13.09.2022. ob 15:12,do prodaje,58 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-trisobno-podravska-lenart-lenart-v-slov-goricah-oglas-9954975,9954975,,,,"83,00 m²",,PS4647831MR,flat,,,,,
44,109.000 €,,,,"28,00 m²",,1960.0,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Bizovik",V večstanovanjski stavbi,2.,2.0,2019.0,,,Skupna cena,13.09.2022. ob 15:10,do prodaje,64 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-enosobno-ljubljana-moste-polje-bizovik-oglas-9954954,9954954,,,,"28,00 m²",,KODA: P1091LB,flat,,,,,
45,105.000 €,,,,"80,00 m²",3-sobno,1972.0,Prodam,"Podravska, Maribor okolica, Razvanje",V večstanovanjski stavbi,1.,2.0,2013.0,,,Skupna cena,13.09.2022. ob 15:10,do prodaje,106 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-trisobno-podravska-maribor-okolica-razvanje-oglas-9954950,9954950,,,,"80,00 m²",,2011,flat,,,,,
46,168.900 €,,,,"82,40 m²",4-sobno,1971.0,Prodam,"Podravska, Maribor, Magdalena",,Visoko pritličje,,,Zaprt balkon,,Skupna cena,13.09.2022. ob 14:28,do prodaje,122 -krat,https://www.bolha.com/nepremicnine/stirisobno-stanovanje-maribor-tabor-plecnikova-1-90.6-m2-oglas-9954729,9954729,,,,"90,61 m²",,,flat,,,,,
47,89.000 €,,,,"39,00 m²",1-sobno,1970.0,Prodam,"Podravska, Maribor, Tabor",V večstanovanjski stavbi,Visoko pritličje,5.0,2018.0,,,Skupna cena,13.09.2022. ob 12:44,Št. dni: 28 in 15 h,140 -krat,https://www.bolha.com/nepremicnine/maribor-tabor-1-sobno-stanovanje-39-m2-prodamo-oglas-9954290,9954290,,,,,,,flat,,,,,
48,155.000 €,,,,"95,00 m²",4-sobno,1996.0,Prodam,"Podravska, Maribor, Kamnica",V večstanovanjski stavbi,1.,2.0,2018.0,,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,13.09.2022. ob 12:33,Št. dni: 28 in 15 h,12587 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-kamnica-125.00-m2-oglas-8994051,8994051,Popolnoma opremljeno,,,"125,00 m²",C (35 - 60 kWh/m2a),,flat,,,,,
49,89.000 €,,,,"43,00 m²",1-sobno,1978.0,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,3.,4.0,,,,Skupna cena,13.09.2022. ob 11:05,do prodaje,657 -krat,https://www.bolha.com/nepremicnine/prodaja-stanovanje-enosobno-podravska-maribor-pobrezje-oglas-9719432,9719432,Delno opremljeno,brez pripadajočega parkirišča,,"43,00 m²",,PS00336DR,flat,,,,,
50,198.000 €,,,,"61,50 m²",3-sobno,1999.0,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,,,,Atrij,,Skupna cena,13.09.2022. ob 09:58,do prodaje,78 -krat,https://www.bolha.com/nepremicnine/cudovit-atrij-odlicni-lokaciji-oglas-9953539,9953539,,,,"124,30 m²",D (60 - 105 kWh/m2a),GALEA 2022/4124,flat,,,,,
51,130.000 €,,,,,3-sobno,1960.0,Prodam,"Podravska, Slovenska Bistrica, Slovenska Bistrica",V večstanovanjski stavbi,3.,4.0,,,,Skupna cena,13.09.2022. ob 09:13,Št. dni: 28 in 12 h,91 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-slovenska-bistrica-oglas-9953285,9953285,Neopremljeno,,Menjava za drugo nepremičnino ni možna,"71,60 m²",,,flat,,,,,
52,218.000 €,,,,"93,00 m²","2,5-sobno",1938.0,Prodam,"Podravska, Maribor, Center",,3.,,2017.0,,,Skupna cena,13.09.2022. ob 08:35,do prodaje,496 -krat,https://www.bolha.com/nepremicnine/maribor-center-93.00-m2-oglas-9953175,9953175,,,,,B2 (25 - 35 kWh/m2a),B246,flat,,,,,
53,374.830 €,,,,,4-sobno,,Prodam,"Savinjska, Vransko, Vransko",V večstanovanjski stavbi,,3.0,,"Balkon, Atrij, Terasa",,Skupna cena,13.09.2022. ob 00:19,do prodaje,20 -krat,https://www.bolha.com/nepremicnine/vransko-stanovanje-4-sobno-prodaja-oglas-9952285,9952285,,2,Menjava za drugo nepremičnino ni možna,"118,30 m²",B1 (15 - 25 kWh/m2a),101216-83,flat,,,,,
54,255.536 €,,,,,3-sobno,,Prodam,"Savinjska, Vransko, Vransko",V večstanovanjski stavbi,,3.0,,"Balkon, Atrij, Terasa",,Skupna cena,13.09.2022. ob 00:18,do prodaje,970 -krat,https://www.bolha.com/nepremicnine/vransko-stanovanje-3-sobno-prodaja-oglas-9952279,9952279,,2,Menjava za drugo nepremičnino ni možna,"79,43 m²",B1 (15 - 25 kWh/m2a),106165-129,flat,,,,,
55,222.000 €,,,,"71,40 m²","3,5-sobno",1948.0,Prodam,"Gorenjska, Kranj, Kranj",V večstanovanjski stavbi,2.,2.0,2011.0,Balkon,,Skupna cena,12.09.2022. ob 23:42,Št. dni: 28 in 2 h,375 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-kranj-71.00-m2-oglas-9952255,9952255,Delno opremljeno,brez pripadajočega parkirišča,,"100,40 m²",EI ni potrebna (334. člen EZ-1),,flat,,,,,
56,149.900 €,,,,"73,10 m²",3-sobno,1945.0,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,Visoko pritličje,5.0,2010.0,,,Skupna cena,12.09.2022. ob 23:00,do prodaje,226 -krat,https://www.bolha.com/nepremicnine/maribor-center-73.00-m2-3-sobno-stanovanje-prodamo-oglas-9952196,9952196,,,,"73,10 m²",EI v izdelavi,,flat,,,,,
57,133.686 €,,,,,2-sobno,,Prodam,"Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru",,,,,,,Skupna cena,12.09.2022. ob 22:02,do prodaje,47 -krat,https://www.bolha.com/nepremicnine/pesnica-pri-mariboru-novogradnja-2-sobno-stanovanje-56-m2-prodamo-oglas-9952075,9952075,,,,,,,flat,,,,,
58,70.000 €,,,,"31,00 m²",1-sobno,1935.0,Prodam,"Podravska, Maribor, Pobrežje",,,,2021.0,,,Skupna cena,12.09.2022. ob 21:24,do prodaje,205 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-pobrezje-31.00-m2-oglas-9951933,9951933,,,,"31,00 m²",,,flat,,,,,
59,135.000 €,,,,"60,00 m²",2-sobno,1990.0,Prodam,"Podravska, Slovenska Bistrica, Slovenska Bistrica",V večstanovanjski stavbi,1.,2.0,2019.0,Balkon,Lopa za shranjevanje,Skupna cena,12.09.2022. ob 21:06,Št. dni: 28,5010 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-slovenska-bistrica-60.00-m2-oglas-9330382,9330382,Popolnoma opremljeno,2,,"50,00 m²",,,flat,,,,,
60,Po dogovoru,,,,"118,00 m²",4-sobno,1938.0,Prodam,"Gorenjska, Kranj, Kranj",V večstanovanjski stavbi,1.,3.0,2000.0,Balkon,Vrt/dvorišče,Skupna cena,12.09.2022. ob 18:53,Št. dni: 27 in 12 h,771 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-kranj-118.00-m2-oglas-8987728,8987728,Popolnoma opremljeno,2,,"129,00 m²",EI ni potrebna (334. člen EZ-1),,flat,,,,,
61,127.000 €,,,,"49,90 m²",2-sobno,2006.0,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,Pritličje,3.0,,Atrij,,Skupna cena,12.09.2022. ob 16:57,do prodaje,3000 -krat,https://www.bolha.com/nepremicnine/dvosobno-stanovanje-z-atrijem-pobrezje-52.90-m2-oglas-9829204,9829204,Delno opremljeno,,,"52,90 m²",C (35 - 60 kWh/m2a),5461,flat,,,,,
62,75.250 €,,,,"28,10 m²",Garsonjera,2006.0,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,Pritličje,3.0,,Atrij,,Skupna cena,12.09.2022. ob 16:57,do prodaje,926 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-pobrezje-28.10-m2-oglas-9824429,9824429,Delno opremljeno,,,"30,10 m²",,5466,flat,,,,,
63,75.000 €,,,,"31,05 m²",Garsonjera,2006.0,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,1.,3.0,,Balkon,,Skupna cena,12.09.2022. ob 16:46,Št. dni: 27 in 19 h,139 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-pobrezje-31.05-m2-oglas-9950808,9950808,,,,,,,flat,,,,,
64,275.000 €,,,,"61,00 m²",2-sobno,,Prodam,"Obalno-kraška, Piran, Lucija",V večstanovanjski stavbi,Pritličje,4.0,,,,Skupna cena,12.09.2022. ob 15:24,Št. dni: 27 in 18 h,152 -krat,https://www.bolha.com/nepremicnine/lokacija-stanovanja-lucija-61.00-m2-oglas-9761365,9761365,,,,,,,flat,,,,,
